point_id  x_coordinate  y_coordinate height
10020058   145183.4848   857874.1262  -9.3785
10020059   163838.3696   410256.1089 162.0903
10020060    26669.3330   794875.8045  54.1765
10020061   -26757.4438   235857.1655  15.8868
10020062    62515.9818   384498.5733 -18.3992
10020063   159104.4338   839384.5987  92.5087
10020064   118985.0801   566406.7721 222.0787
10020065    27311.9045   468216.0173 313.7662
10020066   -72641.0755   239406.6808 -74.9142
10020067   134505.1303   305023.5614 255.6065
10020068   -35454.1053   744525.1376  -4.4907
10020069   112632.5147   338691.5174 -62.4753
10020070   286189.0915   234296.5318 -87.1936
10020071    50891.9595   605499.4899 325.2611
10020072    44040.9056   410534.7790 185.7659
10020073   130331.1183   359175.9466 336.4166
10020074    70541.3795   706953.0511   8.8088
10020075   -13564.6369   370008.6728 354.9315
10020076    95311.4550   353071.9609 440.8211
10020077   257259.1001   462580.9367 441.4345
10020078   181782.7104   357345.1352 421.4742
10020079   -79064.8318   372827.3598 108.6479
10020080   314692.0057   386664.1119 123.3529
10020081    87230.1325   804489.7956 446.2525
10020082    89278.7844   513158.2049   9.6907
10020083   176475.0464   229646.6448 243.0813
10020084   -24109.1536   607036.3397 105.6516
10020085    14043.5944   832950.5365 150.3844
10020086   217175.6752   224243.5190  91.8645
10020087   133529.2807   485737.0575 283.6534
10020088    50959.8199   631105.1165 367.2967
10020089   -60958.7486   278894.1949  33.5307
10020090   -45723.0863   324652.7237 -89.7985
10020091   173368.2730   684622.5118  12.6579
10020092   289399.6650   508006.8417 326.5512
10020093   118401.4473   359357.1533 344.7381
10020094   309895.9604   344648.5446 282.7078
10020095   -29573.5217   875022.0479 390.3019
10020096    -7837.5898   594317.7123 350.1476
10020097    62071.7099   834413.7559 450.2770
10020098   309247.8915   346400.6023 377.1651
10020099   116351.7191   823612.7323 337.4908
10020100   -28726.0025   246017.4698 273.6523
10020101   196016.6128   612416.5906  36.0042
10020102    94926.9644   697557.4700 -27.1208
10020103   315464.5803   741795.1651 378.2389
10020104    70650.7390   267367.3850 343.4223
10020105   -53981.2608   762870.2848  58.1757
10020106    83256.2792   779645.6629 271.5001
10020107   -44532.8969   554498.6735 234.4160
10020108   -28598.4387   232596.7215  63.2049
10020109   129959.7721   755294.1979 231.0478
10020110   130797.6870   775700.4250 215.5656
10020111   -43225.8308   295042.6926 181.9043
10020112   259776.2428   434530.4944 244.8908
10020113   109647.4917   562105.0451 -85.1779
10020114   184241.4791   509387.7948 123.7737
10020115   171660.0749   809354.0111 -66.4777
10020116    -7908.4772   851766.7454 346.6575
10020117   -48130.9562   258976.6287 310.3035
10020118   -64886.1153   338436.4398 112.2305
10020119   139603.8318   418984.7289  99.0267
10020120   105226.5227   737120.5563 -49.5097
10020121    40295.5757   299038.0181 137.4116
10020122   276509.4297   662002.6361 418.9800
10020123   110945.7291   718975.3292 110.1948
10020124   153139.4564   498867.2222 251.3702
10020125   245577.8230   342390.4309 -21.8310
10020126   -69322.4414   348755.5655 387.2528
10020127   -60288.9870   742426.4958 422.1598
10020128   315741.2190   257054.5158 302.5350
10020129   275308.1197   845515.8638 439.8411
10020130   272179.7442   606617.2359 449.2763
10020131   299978.2617   410683.1491 361.4178
10020132    93674.4528   653459.9292 259.4737
10020133   240693.5602   794997.4368 131.6752
10020134   315975.4488   529313.3983  53.6462
10020135   -22546.8727   373552.3996 126.6089
10020136    69031.1364   299255.0768 134.1210
10020137   -64117.0046   579149.6488 149.8984
10020138     3478.5548   490660.8093 140.7052
10020139   277668.5930   683790.0836 405.7364
10020140   -25607.5889   595878.9102  75.6859
10020141    61642.7460   464955.6787 351.9387
10020142   288144.5260   635672.4180  40.8165
10020143    22611.6048   288556.3080 447.4300
10020144   -60183.9055   483072.5469 204.8640
10020145   -63350.4562   667910.1444  47.8977
10020146    44697.9261   419536.0172 -34.2562
10020147   192285.0736   565797.9248 448.4052
10020148   119371.2610   533843.1949 424.1259
10020149    -7190.0580   715043.9645 247.6928
10020150   226758.1009   233579.7177 123.2821
10020151    55293.7487   718972.7974  59.3573
10020152   227208.1695   583040.0470 267.7020
10020153   184211.3128   712237.2754  43.1029
10020154   -10118.7232   398231.5731 339.9473
10020155   -73387.2436   345091.5986 345.3389
10020156   104311.9712   591836.0493 132.8471
10020157   187745.1842   499335.5571 263.7688
10020158   -22613.2425   697810.3417 362.0642
10020159   327654.1284   432404.4481 315.9976
10020160   167551.2788   268975.9182 197.3296
10020161    44136.5910   824093.3972 -53.2500
10020162   138258.3942   316165.3130 -16.4826
10020163    18686.2248   264563.1412 111.4222
10020164   198445.4337   267200.0766 -24.8642
10020165   197539.5130   340015.6935 274.6105
10020166    67717.4541   414821.9803 -72.1744
10020167   152214.4222   721698.4427 406.0154
10020168   309507.2873   636060.2075  -9.7522
10020169   317335.9839   757442.3655 217.4550
10020170   195755.9843   365233.2003 454.2111
10020171   314577.4003   388110.4987 305.8424
10020172     3383.3484   855066.2815 195.9052
10020173   180343.3984   331361.7873   0.5577
10020174   133411.7904   767496.6721 -52.3692
10020175   106668.5064   889357.4368 142.4853
10020176    83265.9039   230477.8017 451.0423
10020177   241852.7380   389918.1801 248.1529
10020178   -48094.5340   790817.4829 430.1741
10020179    82205.3046   666407.8757 347.4266
10020180   245157.9567   461176.9327 189.7429
10020181   136985.7136   452858.6130 -65.5953
10020182    66309.4470   565918.8413 429.1994
10020183   -59795.5452   338746.7234  64.7099
10020184   108852.6446   360539.6626   4.8862
10020185   308651.1910   645972.5728 -67.2807
10020186   -60908.0742   642611.0279 362.7922
10020187    70439.6142   565809.4217 436.6408
10020188   211438.1277   847144.9312 140.9991
10020189    44540.3577   882156.7088 109.2474
10020190   194692.8934   638766.6296 237.9783
10020191   224347.1324   497394.4170 130.0193
10020192   254687.8808   265569.3382  29.2280
10020193   302409.5802   536176.7000  53.4677
10020194   144146.9150   622881.6190 110.1501
10020195   309209.8880   544082.7209 208.8815
10020196   153559.9335   592648.5564 331.4892
10020197   325394.1725   421169.4816 -56.0857
10020198   101390.3051   622430.7098 203.0148
10020199   175340.2793   366476.0403 303.1776
10020200     5681.4717   431033.4875 303.6811
10020201   223574.1425   429328.5976 131.0294
10020202   191425.2994   476760.0187 -54.1609
10020203    78023.4153   804999.0085 364.9084
10020204     5845.6230   426669.2825 199.7218
10020205    48795.4216   855630.5486  96.8648
10020206   166692.5476   495910.0060 -12.3485
10020207   105828.3963   550588.5118 377.9927
10020208    77308.3833   503017.2020  95.1787
10020209   -59906.0703   579921.0092 335.9992
10020210   127891.5006   617090.6357 331.9157
10020211   295257.4772   509207.5944 404.2322
10020212    45846.0014   888250.2865 321.2315
10020213   -62701.1760   240889.2852  -1.5664
10020214   -29623.7499   836086.0365 420.5871
10020215   104396.1445   439168.7631 248.5923
10020216    16029.3509   497897.3457 289.4598
10020217   244349.4863   398189.1863 137.9345
10020218     4068.3434   226302.7361 374.2740
10020219   335782.3716   408623.0838 103.6508
10020220   242298.8747   608213.7469  83.2572
10020221   142185.7757   399943.1282 164.4672
10020222   197833.0940   466534.9278 296.0623
10020223   319493.1866   479436.6952 233.0146
10020224   285003.6585   435761.9472 425.2185
10020225   284061.8271   492175.1432 282.0648
10020226   132021.2558   278873.2948 151.9191
10020227   266777.6781   727955.4523  66.9656
10020228    34896.4912   398642.0642 336.1372
10020229   322508.1910   497814.0309 292.2583
10020230    44037.2269   652124.1530 347.1303
10020231   287254.5324   605616.2581 321.0169
10020232   274812.4370   519606.0397  32.8408
10020233   -12037.3360   383576.1162 105.6369
10020234   216158.6235   554097.7337 117.3279
10020235    30016.3005   369609.0838 354.7520
10020236    41458.8685   707031.9600  32.8056
10020237   115554.2258   732927.8885 -59.9849
10020238   128263.0947   781754.1397  46.9309
10020239   -42562.6124   412814.6173  52.5026
10020240    30670.3995   890418.6262 373.9754
10020241     4986.3940   850469.1860 309.2679
10020242    27956.8086   496940.1383 315.3859
10020243   134373.5399   239207.6941 232.8999
10020244   -18298.9248   538695.1819 134.4067
10020245   277534.3581   891453.4636 390.2463
10020246    83573.8945   553756.5285 -74.6480
10020247    55770.9109   404372.5756 -11.0507
10020248   194489.8145   788727.9250 182.9979
10020249   306392.2000   499258.4222 347.3407
10020250   229227.6855   660435.4311 -41.8225
10020251   295990.5734   707527.0865 437.7076
10020252    58108.3174   537159.4419 355.1473
10020253   315047.9935   430741.4254 410.1566
10020254   313727.4920   819641.8991 -70.9248
10020255   141037.3883   598425.9262 212.9328
10020256   284591.8542   281209.1037 179.4874
10020257   313716.0084   882348.0392 256.7963
10020258   162777.8305   695229.9255  73.5505
10020259   319047.8217   695389.0292 442.9559
10020260   218346.9781   434687.2119  41.9869
10020261   271257.7308   861186.3033  78.5298
10020262    69717.8074   337362.0670  24.3687
10020263   176162.0930   356490.0571 373.9704
10020264   242420.7933   574807.2713 185.5487
10020265   195649.5968   589748.4754 368.0238
10020266   185904.5173   857820.2611 412.0112
10020267   -43311.9641   818380.0891 -31.8852
10020268   136062.6602   236585.9347 185.3563
10020269    -4359.0030   409606.5187  39.5261
10020270    91730.4614   646637.2764  12.6719
10020271   178116.9567   393711.2849 420.7863
10020272   326008.1650   483547.3074  20.2956
10020273   266380.8890   373277.5795 272.7726
10020274    33380.7641   607191.5425 202.9583
10020275     7609.9596   686712.3400 -62.5546
10020276    34794.5683   559215.6517 246.8253
10020277   247384.2885   674734.0871 327.7124
10020278   300937.7226   440703.9600  91.3945
10020279    42322.1605   568048.9687 -33.9543
10020280   -46516.9065   643424.4677  36.2198
10020281   140903.3271   701063.6728 346.0334
10020282   268197.8683   326218.6584 235.1088
10020283    44842.2876   408926.2499 284.1351
10020284   262093.5834   319440.2880  38.5485
10020285    30056.5508   263686.6378 175.9685
10020286   240994.7069   320684.7206 -55.5240
10020287   226353.7055   618594.2489 206.5762
10020288    89607.1641   253625.9367  58.0341
10020289   -34968.8433   323269.1715 255.8605
10020290   -26677.7702   298193.8301 246.9572
10020291   241017.4088   298460.9250  58.2764
10020292   254103.3279   359924.5420 -11.7503
10020293   131406.5783   366511.2706 142.7991
10020294   -53635.0365   477996.1193 273.3653
10020295   300154.3505   677031.4081 307.8887
10020296   -80394.4039   329755.5886 301.2847
10020297   279524.6251   342484.6061 330.9569
10020298   -11980.7630   600324.6649 453.1849
10020299    59678.5200   481912.6690 172.6865
10020300    53031.4040   506174.6987 454.3788
10020301   -33733.1616   753044.2876  38.8745
10020302   272481.7420   357625.8607 305.8500
10020303   280822.6738   462039.4622  -7.0122
10020304   237261.8836   612150.6442 143.1874
10020305   133488.3359   393904.4184 -68.0888
10020306    27635.1351   741253.9239 200.6245
10020307   290305.4952   860202.1984 125.9339
10020308   289420.1278   879710.0355 -26.4768
10020309   258957.7573   852632.2719 -30.5531
10020310   238087.7360   634048.9654 164.4969
10020311   156305.6143   225147.9756 -59.1738
10020312   -12081.0541   752742.8288 328.1704
10020313   242307.2716   856517.3298 325.1088
10020314   112094.5685   436483.6719   8.4632
10020315   205783.4177   756381.7798  58.8866
10020316    17493.5511   807988.7392 216.0005
10020317   115215.0063   696379.4462 430.5568
10020318   114569.5312   284021.0171 179.3847
10020319   284135.7044   771526.9955 -41.5625
10020320   -30778.5582   556905.7830 189.0771
10020321    54008.5830   325616.0070 200.8492
10020322   189612.7271   743392.0857  89.1495
10020323   269712.0331   264094.8208  61.8615
10020324    47152.4424   294676.5218 210.2311
10020325    55223.8738   474587.0051 122.7630
10020326   -43398.6960   299873.7202 351.8171
10020327   211774.3824   525178.2184 422.3071
10020328   -11468.4827   851763.1498 -89.1313
10020329   291358.6877   273321.3345 -81.5560
10020330    -5941.2008   313432.7233 202.1407
10020331    89524.4911   396114.5558 351.0443
10020332   284029.4583   247552.1998   9.4432
10020333    65094.1718   680323.0607  20.7618
10020334   133316.9270   716300.8142 175.5182
10020335   153275.0126   676221.0464 115.4429
10020336   123416.3495   545457.0252  86.5600
10020337    98577.6507   869448.5644 304.7720
10020338   214111.4434   804579.5002 394.8997
10020339   335919.7133   285933.0357 212.0865
10020340   142683.7177   595038.5907  93.2510
10020341   -77473.4774   257075.6392  -6.5112
10020342   185644.8180   360541.0822 446.7354
10020343   -34528.8163   865540.2291 341.7503
10020344   255655.8430   740539.7119 140.8384
10020345   223636.6842   321363.6561  64.7316
10020346   198292.1134   597484.8402 -77.5590
10020347   202911.3192   293814.4732 -55.0816
10020348    73094.6946   840082.2711 233.1497
10020349   154321.9035   502381.7829 428.4100
10020350    -4242.6691   380080.7697 363.9263
10020351   297295.0851   704546.5761 101.4973
10020352   -57231.8214   797089.6091 123.1883
10020353    16915.0713   354789.1925 -32.1262
10020354   112258.5646   292424.5938 129.3361
10020355   135080.6019   624066.0911 225.8458
10020356   172033.2204   809208.7143 208.0176
10020357   236556.0050   680872.2687 340.3791
10020358   255477.7272   255737.3405 283.6129
10020359   -24066.2193   626083.1412 297.8184
10020360   252206.8533   654768.3083 182.2683
10020361   -19531.7856   373903.4418 211.1876
10020362    96065.2956   742066.5692 374.9910
10020363   271025.4902   413439.6995 416.2040
10020364   222157.5486   673035.9477  30.9849
10020365   -46136.5382   767476.7488 133.6788
10020366    55990.4340   753798.4744 380.6262
10020367   169894.7762   856800.9245 168.2489
10020368   326023.8664   262074.9935 311.7996
10020369   -36478.9826   284984.8255  44.1427
10020370    21240.9381   558207.6254 268.7225
10020371    29797.3239   518918.8310 278.1180
10020372    23783.7607   291073.4370 226.3302
10020373   310216.4976   390858.0112 -18.2046
10020374   199622.4684   785029.9737 401.4642
10020375    69246.0150   597342.2678 195.0438
10020376   -22507.8064   377214.1984  45.6945
10020377    40320.8132   414560.6047  61.2576
10020378   120824.3233   791404.6115  32.6316
10020379   281986.7361   544956.2130 258.5430
10020380    -1649.8879   779365.3416  63.1477
10020381   205010.8468   788342.0974 197.5699
10020382   212746.9967   576059.5837  45.8489
10020383    16668.8011   563372.7661 120.5606
10020384   216905.6157   883858.5859  97.5792
10020385    38783.2082   550287.0518 224.1008
10020386   185299.6149   844468.5074  77.5018
10020387   -29041.4319   765334.6319  73.2664
10020388    96690.3261   528317.1926 -41.4108
10020389   313140.5093   316660.8681 363.9104
10020390   204755.9047   379132.2905 412.5039
10020391   111825.2826   849075.7648 188.8257
10020392   223473.2774   773314.8075 377.4853
10020393    37144.4318   801632.9030 258.3998
10020394   -43901.8515   511004.5943 237.9360
10020395   286168.9158   352051.4395 267.6767
10020396   116994.1249   431819.7670 450.0518
10020397   300897.1603   383205.4824 359.4276
10020398   179413.1992   401774.4291 162.9819
10020399   308428.7444   280251.4997  44.4657
10020400     -468.2956   587427.0854  83.0230
10020401   328199.5029   552226.2694 370.6064
10020402   329536.0607   294104.5429 148.0318
10020403    45448.7447   829957.9050 452.9761
10020404   166712.5400   708844.2752 186.5603
10020405   -43994.5170   744986.3008 355.0873
10020406   158308.8107   597872.4872 427.2871
10020407   245602.5256   742877.5093 453.0522
10020408   -21707.8982   254142.5876 351.8345
10020409   308592.1844   432665.8818 367.6826
10020410    17853.5135   602770.7519 -64.1373
10020411    73136.8782   677428.8187 389.5232
10020412   -13648.5955   398205.9905  10.9610
10020413   -14319.6317   585333.5706 371.1702
10020414   145702.1915   468627.9205 103.0359
10020415   115574.0321   393406.5532   6.1315
10020416   261287.2197   801793.4207 176.8306
10020417   -60979.1169   604842.4627  75.1942
10020418   186649.1605   348288.7723 336.9743
10020419   280676.6189   268712.4791  87.8132
10020420   -60004.2610   243618.3019  98.0148
10020421   127133.3398   426760.6362  70.3096
10020422   215265.8550   370636.0989 194.7323
10020423   276962.5187   427625.4505 177.2121
10020424   228375.1835   363729.2030 220.1658
10020425   320113.5317   769758.6914  78.5406
10020426    58866.5285   517574.0996 -56.5044
10020427   140497.6433   537023.0234 -82.9466
10020428    52148.5637   865660.0807 248.6604
10020429    69539.3290   537223.0101 -44.2013
10020430   -47073.1647   702710.9622  37.7548
10020431    78194.5443   478051.1189  90.3934
10020432   140827.1329   606396.3229 375.4276
10020433    48889.1646   297922.8909  70.8052
10020434   286278.6679   610677.0193 244.3938
10020435    -4780.9373   426848.5741 447.5234
10020436   216880.2296   876966.9039 357.8319
10020437   287153.1308   664786.8335  -8.1619
10020438   139912.2266   762873.7626 452.3242
10020439   124494.3412   507387.5795  13.1100
10020440   305240.7882   681695.6846 -24.0778
10020441   -40434.2615   736939.8370 429.1325
10020442   269488.0458   295141.9601 127.5714
10020443    15035.4076   542378.4456 161.9073
10020444   315662.0048   390577.2498 298.6341
10020445   236051.3752   762933.8900  66.7660
10020446   325382.2765   431694.0711 104.5862
10020447   213626.6859   831961.3533 287.0741
10020448   266194.1767   634697.3804 175.8005
10020449    14208.2597   819450.6886 442.3455
10020450   -12214.4267   842437.2975 258.7754
10020451   292952.1032   827157.9067  44.1665
10020452   231306.3699   854670.4168 115.3249
10020453   183375.1790   284826.6393  83.8856
10020454    35393.6918   277352.6408 259.0303
10020455   153608.1035   257312.7469 204.6329
10020456   123225.3112   763671.3537 157.3474
10020457   -38450.9019   533609.8537 255.5774
10020458   119432.2786   233263.2121 173.7478
10020459   289564.3284   469431.2940 282.9644
10020460    -3500.1655   564931.0249 -38.8206
10020461   327024.3971   256166.9864 -36.0305
10020462   213107.6847   769182.0441 -46.4698
10020463   -64164.2850   344326.3613 -63.9070
10020464   142402.6285   371733.0412  -0.5121
10020465   -36185.8509   597927.7298 445.1509
10020466   -68461.3916   504651.2966 246.7376
10020467   -62315.6088   446411.2686  28.3129
10020468   255305.5788   601192.2852  12.1700
10020469   203285.1876   533455.8279 247.1173
10020470   281100.3616   682337.4906 117.0177
10020471   236947.4276   417683.0116 254.3578
10020472   -47809.4010   746949.1879 237.4214
10020473   116328.7190   410519.8300 -63.2605
10020474   230538.9037   674715.1149 256.2814
10020475    38536.1257   436045.7092 203.3658
10020476   161021.8939   336650.7623  77.3620
10020477    62341.1604   378665.8668 267.7879
10020478    -4507.6427   521820.2332  94.3289
10020479    52709.6279   827758.0803 132.6079
10020480     2218.2895   304744.2254   1.0891
10020481   264471.4993   431722.4269 360.8017
10020482    -7767.9360   285491.1806 167.0104
10020483   295663.3104   298108.8033 421.3013
10020484   -22190.4411   647117.9709  97.7739
10020485   -30635.3796   332028.5065 340.4718
10020486   -30728.9987   799055.5021 199.9083
10020487   295734.0114   378671.2554 353.2686
10020488   -34900.3508   688213.0183 322.0871
10020489   169515.8512   382653.3292 405.2047
10020490    89810.4438   652241.2411 -48.4033
10020491   284274.9291   299262.2768 114.3353
10020492    43233.4393   600781.0080 122.0321
10020493    43541.3357   325949.4666 252.7812
10020494   -55043.1016   656072.0061 333.0766
10020495   178644.8990   608707.9874 283.8484
10020496   299337.1204   845627.9971 146.5578
10020497   -59299.8290   720138.3246  71.0680
10020498   324457.5116   601410.7036 370.1109
10020499    93585.5067   425741.8662 422.5075
10020500   312388.8024   553616.3512 313.0133
10020501   197811.2843   537331.5887 428.5999
10020502   -70914.9253   263506.9556 129.4001
10020503   313736.7185   335132.1506 231.0902
10020504   295068.1311   389154.8454 -28.5376
10020505   160096.7931   771852.2600 220.4254
10020506   171979.4924   813372.0830  11.4505
10020507    60896.3560   425663.4786 -90.3145
10020508   157970.1662   354283.6880 325.3688
10020509   199060.4535   438127.9351 265.6136
10020510   127761.8644   260011.5515   1.3739
10020511   133945.3728   629390.4286 240.2533
10020512    52218.7922   813629.3451 -55.7759
10020513   -74019.4531   245527.2952 347.6311
10020514   150546.3915   530045.3780  67.8288
10020515    55437.5059   465377.2178  12.7268
10020516   -54069.8565   416047.1119 334.2072
10020517   226337.4478   779995.3179 124.6657
10020518   110773.9124   352450.7388  54.8049
10020519   -60380.7513   252157.6400 171.4927
10020520   321292.7736   695316.4075 128.5336
10020521   -57149.7092   475426.5696  -9.9126
10020522   131885.5488   641677.7012 358.8091
10020523   274866.6492   482974.1950 266.6698
10020524   320699.1280   325798.2929 231.1394
10020525    90620.0114   518527.8405 180.4213
10020526   122050.4633   350686.8553 439.3091
10020527   248364.0852   856137.0538 405.2728
10020528   186416.3967   410574.2069 286.9208
10020529   288866.4268   789865.6234  -7.1642
10020530    43422.5431   303130.3640 -71.8317
10020531    -3239.4899   854895.7377 -72.5050
10020532   153317.2144   347197.7071  44.9552
10020533   283359.4279   340540.1852  53.9747
10020534   -31254.6902   795101.2375 261.8294
10020535   149522.5037   438927.1848 437.2043
10020536   287727.9814   560317.4928 -80.0258
10020537    80830.8100   654568.7437 -43.2290
10020538   -30736.4608   630398.4459 370.7443
10020539   -47693.2649   624005.3664  28.4893
10020540   198093.8331   425010.2480 -63.6254
10020541    65691.2474   544634.6524 252.1646
10020542    33989.2221   800622.2482 239.8914
10020543   284228.9555   615193.2117 308.3028
10020544   -29709.5569   310215.5150  84.2804
10020545   227428.3580   421290.7277 366.8736
10020546    98635.4753   636910.2611  68.1441
10020547   -10000.9271   592072.7702 361.0834
10020548   221686.9181   545778.1344 224.9285
10020549    76940.4861   236078.2669 135.6063
10020550   121344.4560   516857.4329 375.2613
10020551    -1272.5764   705389.8007 -47.3394
10020552   256076.6420   239178.0165 423.6147
10020553    41559.4158   239260.9855 389.4042
10020554    50258.5932   873209.8860 -12.9371
10020555   144162.1214   371398.3331  36.5776
10020556   183319.0293   265316.7717 328.4749
10020557   260755.2179   441286.8165  98.7884
10020558   303568.4162   597671.3230 -85.8485
10020559   201381.6610   653172.2416 117.5811
10020560    86732.4156   772661.0243 -38.1305
10020561   -56225.6237   486211.9541 375.8885
10020562    67794.7699   504272.8142  60.6457
10020563   -47799.2945   438314.5174  72.4319
10020564    73135.2884   299432.8530 358.6541
10020565   121074.7095   527182.3700  47.5468
10020566   302898.0232   449957.0650 109.5404
10020567   298379.5138   648531.3322 162.8593
10020568    74627.8323   348326.8684 404.9372
10020569   288051.9555   303991.8158 341.7657
10020570    43338.2868   635903.4197 191.1656
10020571   -11937.2480   449892.6090 414.0339
10020572   135524.7287   759406.1042 202.4261
10020573   301872.3178   574312.4364 454.9194
10020574   -68810.0516   615371.2766 268.8755
10020575   288111.0670   856896.9299 -31.0516
10020576   193289.5488   379977.8932  39.2082
10020577   140720.9106   564424.5222 302.8316
10020578   155379.8960   641823.6652 -76.2978
10020579   -39275.9033   607885.4174 203.5655
10020580   286747.3805   656854.6887 166.7743
10020581   -33426.7168   552476.9330 297.6431
10020582   170531.4000   750042.0525 306.5161
10020583   217949.0815   663811.5669 431.5097
10020584    92321.8639   668828.2062 212.3094
10020585   213409.2481   627844.0010 193.2311
10020586   246080.1694   850205.5662 155.2207
10020587    35853.9207   731259.6557  86.7854
10020588   250444.4586   709728.3371 426.5892
10020589   -14584.7542   303711.8421 166.5868
10020590    75240.9812   835187.3186 272.0046
10020591   224427.5125   456111.2479 284.3330
10020592    39482.3545   560094.0124 392.7066
10020593   199999.3156   254166.8377 202.3869
10020594    -8492.3826   448046.0815 -79.5264
10020595   213306.9863   517379.3078  50.6092
10020596   197428.1288   543022.5615 181.1123
10020597   259448.6644   465007.7816 160.1241
10020598   206891.0600   440973.0022 -30.4310
10020599   109070.7404   768311.2018  95.6376
10020600    35762.7036   302923.9558 279.7429
10020601   226169.5181   875929.1450 172.8039
10020602   -15429.6336   711643.9184 165.2315
10020603   308022.1762   428673.3598 300.8026
10020604   270758.8355   586729.7897 271.8198
10020605   127403.0836   293965.9865 437.7949
10020606   287807.3362   574068.6522 -52.9493
10020607   -12185.5900   665407.6753 360.5024
10020608   268297.0302   872342.9000 244.9451
10020609    97151.6047   565898.0271 -46.3746
10020610    87964.9028   513532.3430 441.8722
10020611   309169.0387   592014.6247  58.9347
10020612   147872.6295   794019.1246  52.6239
10020613   102431.8321   734291.8238 -54.2922
10020614   124015.1030   641599.6786  69.8569
10020615   -34547.2586   388994.6418 289.8895
10020616   -28579.8120   737147.0880 -27.6204
10020617   142665.2907   708656.8937   9.6634
10020618   159556.9678   428502.7332 -12.8425
10020619   220237.1049   419678.0021 104.4248
10020620   196032.2508   597794.5291 154.1868
10020621   -44019.7237   725954.9672  86.3546
10020622   139682.2323   497880.9121 171.0932
10020623    -9489.7905   654933.9993 203.7485
10020624   311551.9574   874286.1597 -82.4277
10020625    93649.3362   656345.1811  56.0081
10020626    67531.9599   738965.0697 106.9758
10020627   -26333.8791   388285.7072 102.6508
10020628    -6784.0853   499929.2699 293.4991
10020629   116186.0087   276059.4324 278.8569
10020630   170784.2161   422576.6228 265.4646
10020631    80571.9285   624335.7028 350.6003
10020632   129139.1714   661467.2562 -26.1892
10020633   139204.0847   690036.9119 -54.1998
10020634   312221.9093   855312.7803 265.7636
10020635   216042.6882   223910.2147 157.7624
10020636   272307.8456   656805.0089 -50.3716
10020637   179079.1857   615887.4579 110.5434
10020638    -8129.9587   310221.3327 -33.3723
10020639    35849.1837   590764.2542 -22.3964
10020640   185523.2368   574732.8391 200.1239
10020641    64990.8036   592845.7240 358.6747
10020642      335.4639   254301.2050 230.1272
10020643   240928.0501   519978.9127 279.5325
10020644   235238.0164   274760.9431  44.0319
10020645   -42355.7263   463816.4378 248.0609
10020646    13053.8762   781680.7404 259.7819
10020647   -11244.9398   281388.3739 244.8078
10020648     8522.7614   752517.9419 -55.8368
10020649     5585.5286   870035.6104 319.8771
10020650   252389.7547   229755.5326 244.8684
10020651   -40254.9319   425031.8849 200.3487
10020652   221613.3693   241956.8629 274.6830
